EventId,EventTemplate,Occurrences
278,"Google Chrome He[<*>] triggered unnest of range <*>-><*> of DYLD shared region in VM map <*>. While not abnormal for debuggers, this increases system memory footprint until the target exits.",1
279,hibernate_page_list_setall(preflight <*>) start,1
280,hibernate_page_list_setall time: <*> ms,1
281,IOPolledFilePollersOpen(<*>) <*> ms,1
282,hibernate_teardown completed - discarded <*>,1
283,AppleActuatorDeviceUserClient::stop Entered,1
284,[IOBluetoothHostController::setConfigState] calling registerService,1
285,[HID] [MT] AppleMultitouchDevice::start entered,1
286,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:<*>] Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}",1
287,Unable to start NetBIOS name service:,2
288,Got an XPC error: Connection invalid,1
289,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier <*>,1
290,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSPromptAction had no updates to apply.,1
291,no sleep images for WillPowerOffWithImages,1
292,ChromeExistion main isUndetectWithCommand = <*>,2
293,after trim url = <*>,1
294,"ChromeExistion main strSendMsg = {""websitekey"":<*>,""commandkey"":<*>,""browserkey"":<*>}",1
295,url host = <*>,1
296,the url = <*>,1
297,[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>] to failed operations.],3
298,"ARPT: <*>: wl0: Roamed or Switched channel, reason #<*>, bssid <*>, last RSSI <*>",1
299,hibernate_rebuild started,1
300,"Service ""<*>"" tried to hijack endpoint ""<*>"" from owner: <*>",3
301,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,2
302,Sandbox: <*> deny(<*>) file-read-data <*>,1
303,<*>-<*>-<*> <*>:<*>:<*> [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,1
304,full wake request (reason <*>) <*> ms,1
305,<*>: <*>: <*>: <*>,1
306,kern_open_file_for_direct_io(<*>),1
307,<*>:<*>:<*> : BTLE scanner Powered Off,2
308,"PM response took <*> ms (<*>, <*>)",1
309,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher start fetch from URL: <*>,2
310,"Page bounds {{<*>, <*>}",2
311,Failed to connect (titleField) outlet from (MMSessionPickerChoosenRowView) to (NSTextField): missing setter or instance variable,1
312,[com.apple.calendar.store.log.caldav.queue] [Account <*>@<*>@<*>] timed out when Executed operation: <CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>],1
313,"[com.apple.calendar.store.log.caldav.queue] [Account refresh failed with error: Error Domain=CoreDAVHTTPStatusErrorDomain Code=502 ""(null)"" UserInfo={AccountName=<*>, CalDAVErrFromRefresh=YES, CoreDAVHTTPHeaders=<CFBasicHash <*> [<*>]>{type = immutable dict, count = <*>, entries => <*> : Connection = <CFString <*> [<*>]>{contents = ""keep-alive""} <*> : Content-Type = text/html <*> : Content-Length = <*> : Server = nginx <*> : Date = <CFString <*> [<*>]>{contents = ""Fri, <*> Jul <*> 05:<*>:<*> GMT""} } }]",1
314,Sandbox: SpotlightNetHelp(<*>) deny(<*>) ipc-posix-shm-read-data CFPBS:<*>:,1
315,"no application identifier provided, can't use provisioning profiles [pid=<*>]",1
316,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,1
317,CFNetwork SSLHandshake failed (<*>),1
318,"Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:<*> H:[NSImageView:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>]-(<*>)-[NSTextField:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>]-(<*>)-[NSTextField:<*>]>"" will attempt to recover by breaking constraint <NSLayoutConstraint:<*> H:[NSImageView:<*>]> Set the NSUserDefaultNSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens. And/or, break on objc_exception_throw to catch this in the debugger.",1
319,"Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*)]>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*)]>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*)]-(<*>)-[NSTextField:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*)]-(<*>)-| [NSTextField:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSTextField:<*>]-(>=NSSpace(<*))-[NSTextField:<*>]>"" ) Will attempt to recover by breaking constraint <NSLayoutConstraint:<*> H:[NSImageView:<*>(<*)]> Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens. And/or, break on objc_exception_throw to catch this in the debugger.",1
320,"Configuration Notice: ASL Module ""<*>"" sharing output destination ""<*>"" with ASL Module ""<*>"". Output parameters from ASL Module ""<*>"" override any specified in ASL Module ""<*>"".",1
321,(<*>:<*>) <*> <*>,1
322,"CCDataTap::profileRemoved, Owner: <*>, Name: StateSnapshots",1
323,Unrecognized XSSimpleTypeDefinition: OneOff,2
324,DB Path: <*>,1
325,Could not get event name for stream/token: <*>: <*>: Request for stale data,1
326,2017-07-07 10:54:41.875 GoogleSoftwareUpdateAgent[37924/0x7000002a0000] [lvl=2] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <KSTicket:0x100365950 productID=<KSProductID:<KSProductID:<KSProductID:\<*>> version=<KSVersion:<*> xc=<KSPathExistenceChecker:<KSPathExistenceChecker:\<*> path=/Applications/Google Chrome.app> serverType=<KSServerType:<*> url=<KSUrl:<*> creationDate=<KSDate:<*> tagPath=<KSTagPath:<*> tagKey=<KSChannelID:<*> brandPath=<KSBrandPath:<*> versionPath=<KSVersion:<*> cohort=<KSCohoronName:<*> ticketVersion=<KSTicket:\<*> >)} Using server: <KSOmahaServer:<*> engine=<KSUpdateEngine:\<*> >,1
327,Error in CoreDragRemoveTrackingHandler: <*>,1
328,Session <*> destroyed,2
329,Sandbox: QuickLookSatelli(<*>) deny(<*>) mach-lookup com.apple.networkd,1
330,"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed,dumping backtrace: [<*>] libnetcore-<*> <*> libsystem_network.dylib <*> __nw_create_backtrace_string + <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <",1
331,"CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_ DEBUG_TRANSACTIONS=1 in environment to log backtraces.",1
332,full wake promotion (reason <*>) <*> ms,1
333,"NSURLSession/NSURLConnection HTTP load failed (kCFStreamErrorDomainSSL, <*>)",1
334,"[QL] No sandbox token for request <QLThumbnailRequest vmware-usbarb-<*>.log>, it will probably fail",1
335,"schedule invalidation <DYTransport <*>, error: lost transport connection (<*>)>",1
336,[<*>:<*>:<*>] mv_LowLevelCheckIfVideoPlayableUsingDecoder signalled err=<*> (kFigMediaValidatorError_VideoCodecNotSupported) (video codec <*>) at line <*>,1
337,<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec <*>,1
338,<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>). Failed codec specific check.,1
339,CoreAnimation: timed out fence <*>,1
340,Failed to connect (view) outlet from (NSApplication) to (NSColorPickerGridView): missing setter or instance variable,1
341,<*>:<*>:<*> ERROR: <*>: timed out after <*>s (<*>); mMajorChangePending=<*>,1
342,efi pagecount <*>,2
343,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,1
344,"CCDataTap::profileRemoved, Owner: <*>, Name: AssociationEventHistory",1
345,Host controller terminated,1
346,[HID] [MT] AppleActuatorHIDEventDriver::start entered,1
347,[BluetoothHIDDeviceController]ERROR: Could not find disconnected object,2
348,vm_compressor_fastwake_warmup completed - took <*> msecs,1
349,"Unable to simultaneously satisfy constraints: ( <NSAutoresizingMaskLayoutConstraint:<*> h=-&amp;- v=-&amp;- V:[NSScrollView:<*>]-(11)-| (Names: '|':NSView:<*> )>"", ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&amp;- v=-&amp;- V:|-(45)-[NSScrollView:<*>] (Names: '|':NSView:<*> )>"" Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens. And/or, break on objc_exception_throw to catch this in the debugger.",1
350,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] About to run checks for any other apps.,1
351,Arranged view frame: <*>,1
352,CCProfileMonitor::setStreamEventHandler,1
353,Telling CSI to go low power.,1
